사용본거지법정동명	동별 총 대수	휘발유	경유	엘피지	전기	휘발유_유연	휘발유_무연	CNG	하이브리드_휘발유_전기	하이브리드_경유_전기	하이브리드_LPG+전기	하이브리드_CNG+전기	수소	기타연료
서울특별시 노원구 하계동	14,042 	3,031 	4,697 	1,279 	13 	1 	4,662 	1 	331 		7 			20 
서울특별시 노원구 상계동	60,162 	11,559 	20,507 	7,765 	90 	18 	18,640 	413 	1,037 	1 	42 	31 		59 
서울특별시 노원구 중계동	31,387 	6,572 	10,726 	3,201 	34 	10 	10,045 	8 	717 	1 	23 			50 
서울특별시 은평구 수색동	3,362 	693 	1,161 	316 	4 		964 	162 	58 		1 	1 		2 
서울특별시 은평구 녹번동	10,321 	2,062 	3,834 	864 	32 	4 	3,265 	11 	234 		3 		1 	11 
서울특별시 은평구 불광동	17,166 	3,657 	6,019 	1,575 	12 	3 	5,514 		352 		18 			16 
서울특별시 은평구 갈현동	13,657 	2,781 	4,968 	1,358 	15 	4 	4,308 		195 		11 			17 
서울특별시 은평구 구산동	9,513 	1,761 	3,450 	999 	8 	2 	2,827 	294 	150 		9 			13 
서울특별시 은평구 대조동	7,108 	1,467 	2,610 	717 	4 		2,178 		120 		8 			4 
서울특별시 은평구 응암동	19,014 	3,859 	7,106 	1,774 	23 	6 	5,809 	2 	399 		13 		1 	22 
서울특별시 은평구 역촌동	12,628 	2,510 	4,722 	1,321 	9 	5 	3,822 	8 	208 		10 			13 
서울특별시 은평구 신사동	14,838 	2,599 	5,196 	2,567 	14 	6 	4,177 	13 	232 		13 		1 	20 
서울특별시 은평구 증산동	4,899 	867 	1,774 	773 	6 		1,373 	3 	90 		3 		2 	8 
서울특별시 은평구 진관동	17,980 	4,242 	5,734 	1,568 	36 	7 	5,555 	257 	532 		18 		1 	30 
서울특별시 서대문구 충정로2가	607 	113 	275 	30 			175 		11 		2 			1 
서울특별시 서대문구 충정로3가	1,916 	321 	784 	227 	1 	1 	526 	10 	43 		1 			2 
서울특별시 서대문구 합동	370 	111 	110 	22 	3 		112 		12 					
서울특별시 서대문구 미근동	890 	53 	529 	21 	2 		249 		12 					24 
서울특별시 서대문구 냉천동	933 	239 	297 	51 	1 		321 		24 					
서울특별시 서대문구 천연동	1,276 	275 	460 	109 	2 	1 	399 		28 					2 
서울특별시 서대문구 옥천동	171 	33 	55 	27 		1 	52 		3 					
서울특별시 서대문구 영천동	1,155 	253 	421 	102 			343 		34 		1 			1 
서울특별시 서대문구 현저동	1,578 	453 	454 	96 	1 	1 	522 	1 	50 					
서울특별시 서대문구 북아현동	6,840 	1,587 	2,444 	469 	12 	4 	2,100 	18 	186 		8 			12 
서울특별시 서대문구 홍제동	14,286 	3,176 	4,885 	1,099 	20 	6 	4,699 	9 	360 		15 		2 	15 
서울특별시 서대문구 대현동	1,300 	269 	363 	232 	3 	1 	399 		30 				2 	1 
서울특별시 서대문구 대신동	283 	79 	105 	9 			79 		10 	1 				
서울특별시 서대문구 신촌동	273 	63 	110 	10 	1 		80 	4 	5 					
서울특별시 서대문구 봉원동	132 	26 	49 	11 	1 		42 		3 					
서울특별시 서대문구 창천동	1,876 	465 	635 	149 	1 	1 	583 	1 	36 		2 			3 
서울특별시 서대문구 연희동	10,716 	2,558 	3,829 	851 	40 	7 	3,168 	12 	233 		6 			12 
서울특별시 서대문구 홍은동	14,167 	3,002 	4,981 	1,401 	16 	5 	4,357 	107 	272 		6 	2 		18 
서울특별시 서대문구 북가좌동	16,553 	2,955 	6,024 	2,562 	30 	2 	4,571 	66 	297 		7 			39 
서울특별시 서대문구 남가좌동	12,299 	2,779 	4,343 	913 	11 	4 	3,766 	94 	357 		9 		1 	22 
서울특별시 마포구 아현동	7,252 	1,937 	2,355 	415 	8 	3 	2,254 	1 	266 		5 		1 	7 
서울특별시 마포구 공덕동	8,013 	1,959 	2,831 	496 	13 		2,483 		216 		3 			12 
서울특별시 마포구 신공덕동	4,060 	1,061 	1,240 	287 	13 	2 	1,304 	1 	145 		2 			5 
서울특별시 마포구 도화동	8,649 	2,204 	3,059 	538 	23 	2 	2,577 	2 	208 		3 		2 	31 
서울특별시 마포구 용강동	2,635 	688 	841 	185 	3 	1 	816 		95 					6 
서울특별시 마포구 토정동	488 	131 	156 	21 	1 	1 	161 		14 		1 			2 
서울특별시 마포구 마포동	2,429 	391 	930 	216 		1 	839 		51 					1 
서울특별시 마포구 대흥동	3,863 	893 	1,277 	331 	7 	1 	1,238 		105 		1 		1 	9 
서울특별시 마포구 염리동	4,247 	971 	1,762 	223 	5 		1,152 	2 	116 		3 			13 
서울특별시 마포구 노고산동	1,259 	314 	393 	156 	1 		381 		13 		1 			
서울특별시 마포구 신수동	3,874 	841 	1,465 	289 	8 	3 	1,170 	13 	78 		1 		1 	5 
서울특별시 마포구 현석동	1,866 	541 	618 	72 	3 	1 	559 		69 		1 			2 
서울특별시 마포구 구수동	467 	59 	295 	25 			87 		1 					
서울특별시 마포구 창전동	4,347 	1,082 	1,381 	261 	9 	1 	1,462 	2 	140 		2 			7 
서울특별시 마포구 상수동	2,456 	645 	922 	114 	7 		679 		82 					7 
서울특별시 마포구 하중동	553 	188 	178 	15 			143 		26 					3 
서울특별시 마포구 신정동	568 	163 	179 	27 			179 		20 					
서울특별시 마포구 당인동	308 	64 	111 	27 			96 		8 		1 			1 
서울특별시 마포구 서교동	6,793 	1,672 	2,497 	402 	9 	2 	2,060 	4 	126 		5 			16 
서울특별시 마포구 동교동	1,778 	390 	720 	105 	5 		510 		44 					4 
서울특별시 마포구 합정동	6,271 	1,214 	2,588 	536 	12 	2 	1,775 	3 	123 		5 			13 
서울특별시 마포구 망원동	11,394 	2,255 	4,357 	1,316 	20 	8 	3,168 	29 	200 		11 			30 
서울특별시 마포구 연남동	4,359 	931 	1,649 	300 	8 	2 	1,356 	11 	93 		4 			5 
서울특별시 마포구 성산동	15,080 	3,072 	5,783 	1,421 	41 	4 	4,356 	30 	342 		12 			19 
서울특별시 마포구 중동	3,205 	712 	1,075 	300 	4 		1,025 	2 	83 		1 			3 
